start_id,end_id,rel_type
dis026,diet006,YÊU_CẦU_CHẾ_ĐỘ
dis026,diet010,YÊU_CẦU_CHẾ_ĐỘ

dis027,diet006,YÊU_CẦU_CHẾ_ĐỘ

dis028,diet006,YÊU_CẦU_CHẾ_ĐỘ
dis028,diet010,YÊU_CẦU_CHẾ_ĐỘ

dis029,diet010,YÊU_CẦU_CHẾ_ĐỘ

dis030,diet005,YÊU_CẦU_CHẾ_ĐỘ
dis030,diet008,YÊU_CẦU_CHẾ_ĐỘ



diet001,cm004,KHUYẾN_NGHỊ
diet001,cm005,KHUYẾN_NGHỊ
diet001,cm012,KHUYẾN_NGHỊ
diet001,cm014,KHUYẾN_NGHỊ

diet002,cm002,KHUYẾN_NGHỊ
diet002,cm003,KHUYẾN_NGHỊ
diet002,cm004,KHUYẾN_NGHỊ
diet002,cm014,KHUYẾN_NGHỊ

diet003,cm005,KHUYẾN_NGHỊ
diet003,cm007,KHUYẾN_NGHỊ
diet003,cm008,KHUYẾN_NGHỊ
diet003,cm014,KHUYẾN_NGHỊ

diet004,cm004,KHUYẾN_NGHỊ
diet004,cm005,KHUYẾN_NGHỊ
diet004,cm007,KHUYẾN_NGHỊ
diet004,cm014,KHUYẾN_NGHỊ

diet005,cm004,KHUYẾN_NGHỊ
diet005,cm005,KHUYẾN_NGHỊ
diet005,cm007,KHUYẾN_NGHỊ
diet005,cm014,KHUYẾN_NGHỊ

diet006,cm005,KHUYẾN_NGHỊ
diet006,cm008,KHUYẾN_NGHỊ
diet006,cm007,KHUYẾN_NGHỊ
diet006,cm014,KHUYẾN_NGHỊ

diet007,cm002,KHUYẾN_NGHỊ
diet007,cm003,KHUYẾN_NGHỊ
diet007,cm006,KHUYẾN_NGHỊ
diet007,cm009,KHUYẾN_NGHỊ

diet008,cm004,KHUYẾN_NGHỊ
diet008,cm005,KHUYẾN_NGHỊ
diet008,cm007,KHUYẾN_NGHỊ
diet008,cm008,KHUYẾN_NGHỊ

diet009,cm004,KHUYẾN_NGHỊ
diet009,cm005,KHUYẾN_NGHỊ
diet009,cm007,KHUYẾN_NGHỊ
diet009,cm008,KHUYẾN_NGHỊ

diet010,cm004,KHUYẾN_NGHỊ
diet010,cm005,KHUYẾN_NGHỊ
diet010,cm007,KHUYẾN_NGHỊ
diet010,cm012,KHUYẾN_NGHỊ


cm001,Dish001,ĐƯỢC_DÙNG_TRONG
cm001,Dish002,ĐƯỢC_DÙNG_TRONG
cm001,Dish003,ĐƯỢC_DÙNG_TRONG

cm002,Dish010,ĐƯỢC_DÙNG_TRONG
cm002,Dish011,ĐƯỢC_DÙNG_TRONG
cm002,Dish012,ĐƯỢC_DÙNG_TRONG

cm003,Dish022,ĐƯỢC_DÙNG_TRONG
cm003,Dish023,ĐƯỢC_DÙNG_TRONG
cm003,Dish024,ĐƯỢC_DÙNG_TRONG

cm004,Dish031,ĐƯỢC_DÙNG_TRONG
cm004,Dish032,ĐƯỢC_DÙNG_TRONG
cm004,Dish033,ĐƯỢC_DÙNG_TRONG

cm005,Dish041,ĐƯỢC_DÙNG_TRONG
cm005,Dish042,ĐƯỢC_DÙNG_TRONG
cm005,Dish043,ĐƯỢC_DÙNG_TRONG

cm006,Dish051,ĐƯỢC_DÙNG_TRONG
cm006,Dish053,ĐƯỢC_DÙNG_TRONG
cm006,Dish057,ĐƯỢC_DÙNG_TRONG

cm007,Dish061,ĐƯỢC_DÙNG_TRONG
cm007,Dish062,ĐƯỢC_DÙNG_TRONG
cm007,Dish064,ĐƯỢC_DÙNG_TRONG

cm008,Dish071,ĐƯỢC_DÙNG_TRONG
cm008,Dish073,ĐƯỢC_DÙNG_TRONG
cm008,Dish074,ĐƯỢC_DÙNG_TRONG

cm009,Dish082,ĐƯỢC_DÙNG_TRONG
cm009,Dish083,ĐƯỢC_DÙNG_TRONG
cm009,Dish084,ĐƯỢC_DÙNG_TRONG

cm010,Dish085,ĐƯỢC_DÙNG_TRONG
cm010,Dish086,ĐƯỢC_DÙNG_TRONG
cm010,Dish087,ĐƯỢC_DÙNG_TRONG

cm011,Dish095,ĐƯỢC_DÙNG_TRONG
cm011,Dish097,ĐƯỢC_DÙNG_TRONG
cm011,Dish098,ĐƯỢC_DÙNG_TRONG

cm012,Dish105,ĐƯỢC_DÙNG_TRONG
cm012,Dish107,ĐƯỢC_DÙNG_TRONG
cm012,Dish112,ĐƯỢC_DÙNG_TRONG



dish001,diet001,PHÙ_HỢP_VỚI_CHẾ_ĐỘ
dish001,diet002,PHÙ_HỢP_VỚI_CHẾ_ĐỘ
dish001,diet004,PHÙ_HỢP_VỚI_CHẾ_ĐỘ
dish002,diet003,PHÙ_HỢP_VỚI_CHẾ_ĐỘ
dish002,diet005,PHÙ_HỢP_VỚI_CHẾ_ĐỘ
dish001,diet005,PHÙ_HỢP_VỚI_CHẾ_ĐỘ
dish003,diet005,PHÙ_HỢP_VỚI_CHẾ_ĐỘ
dish001,emo001,PHÙ_HỢP_CẢM_XÚC
dish002,wea003,PHÙ_HỢP_THỜI_TIẾT
dish003,tod003,PHÙ_HỢP_THỜI_GIAN
dish002,ing004,CÓ_NGUYÊN_LIỆU
dish001,ing002,CÓ_NGUYÊN_LIỆU
dish003,ing005,CÓ_NGUYÊN_LIỆU
dish001,ing010,CÓ_NGUYÊN_LIỆU
dish001,ing006,CÓ_NGUYÊN_LIỆU
dish006,ing007,CÓ_NGUYÊN_LIỆU
dish004,ing001,CÓ_NGUYÊN_LIỆU
